index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
2187,1863316966.0,Male,18-24,High,"[""Parents"", ""Other family members""]",4.0,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To manage a health / medical condition"", ""To make the most of treats / indulgent moments""]","[""Low salt"", ""Halal""]","[""Eating out / ordering takeout less frequently"", ""Snacking less often""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
2190,5323636049.0,Female,45+,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",4.0,"[""Exercise regularly"", ""Stay hydrated"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Feeling good about myself"", ""Have more energy"", ""To set a good example for my family""]","[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Watching the size of my portions"", ""Filling half my plate with vegetables"", ""Checking / reading the ingredients in food / drink products"", ""Snacking less often"", ""Cooking more meals at home""]",3+ times a week,"[""Spinning"", ""Strength training"", ""Walking"", ""Running""]","[""No, none of these""]","[""Heavy meal"", ""Caffeine""]"
2192,6929543250.0,Female,18-24,Low,"[""Parents""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""To live longer""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Filling half my plate with vegetables"", ""Cooking more meals at home"", ""Making an effort to find healthy recipes"", ""Eating dessert less often""]",Few times a month,"[""Walking"", ""Hiking""]","[""Have a bath""]","[""Browsing on my cell phone / tablet"", ""Heavy meal"", ""Caffeine""]"
2194,3039261808.0,Female,25-34,Low,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Taking time to relax"", ""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""Have more energy"", ""Feeling good about myself"", ""To lose / manage my weight""]","[""Low sugar"", ""Flexitarian: eat meat but control the amount eaten"", ""Low calorie""]","[""Trying to have a variety of colors on my plate"", ""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse""]",Few times a month,"[""Cardio / Aerobics / Water aerobics"", ""Hiking"", ""Walking""]","[""Have a bath"", ""Have a malted milk drink"", ""Take sleeping tablets""]","[""Alcohol"", ""Heavy meal""]"
2199,13742476.0,Female,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To set a good example for my family"", ""Feeling good about myself"", ""To make the most out of/enjoy life""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
2200,3170963268.0,Male,18-24,Low,"[""Friends / Flatmates""]",2.0,"[""Make sure I get enough sleep"", ""Stress control methods"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Stay hydrated""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life"", ""Feeling good about myself""]","[""High protein""]","[""Filling half my plate with vegetables"", ""Counting / tracking calories"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products""]",3+ times a week,"[""Other""]","[""No, none of these""]","[""Heavy meal"", ""Caffeine"", ""Alcohol""]"
2201,3881120335.0,Male,45+,Low,"[""Partner / spouse""]",4.0,"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To make the most of treats / indulgent moments""]","[""Low salt"", ""Low sugar"", ""Low calorie""]","[""Shopping at places that have a wide selection of healthy options""]",Once a week,"[""Hiking""]","[""Have a bath""]","[""Alcohol"", ""Caffeine""]"
2202,5000182920.0,Female,18-24,High,"[""Children under 18 years old"", ""Partner / spouse""]",3.0,"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Eat healthily"", ""Stay hydrated"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]","[""Halal"", ""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low calorie""]","[""Watching the size of my portions"", ""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Snacking less often""]",Less often,,"[""Have a bath"", ""Meditate""]","[""Heavy meal""]"
2204,6138789305.0,Male,25-34,High,"[""Partner / spouse""]",2.0,"[""Eat healthily"", ""Taking time to relax""]","[""To set a good example for my family"", ""To support my family"", ""Specific event (e.g. holiday, wedding)""]","[""None of the above""]","[""Counting / tracking calories"", ""Filling half my plate with vegetables"", ""Snacking less often""]",Few times a month,"[""Running""]","[""No, none of these""]","[""Caffeine""]"
2206,7320983112.0,Male,25-34,Medium,"[""Partner / spouse""]",3.0,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Stay hydrated""]","[""Have more energy"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Shopping at places that have a wide selection of healthy options""]",Twice a week,"[""Running""]","[""Have warm milk""]","[""Caffeine""]"
2209,25288296000.0,Female,25-34,Low,"[""Partner / spouse"", ""Children over 18 years old"", ""Parents""]",5+,"[""Eat healthily""]","[""To set a good example for my family"", ""To support my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Never,,"[""No, none of these""]","[""Heavy meal"", ""Alcohol"", ""Checking emails"", ""Caffeine""]"
2210,8087129196.0,Female,18-24,Medium,"[""I live alone""]",3.0,"[""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Eat healthily""]","[""To lose / manage my weight"", ""Feeling good about myself"", ""Other""]","[""Vegan: eat no meat, fish, or dairy"", ""Plant based"", ""Halal"", ""Dairy free""]","[""Watching the size of my portions"", ""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently"", ""Snacking less often"", ""Eating out at places that have healthy options available""]",Twice a week,"[""Aerobics"", ""Running"", ""Walking"", ""Swimming"", ""Strength training"", ""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""No, none of these""]"
2217,661664355.0,Female,25-34,Low,"[""Partner / spouse"", ""Children under 18 years old"", ""Parents""]",5+,"[""Make sure I get enough sleep""]","[""Have more energy"", ""Specific event (e.g. holiday, wedding)"", ""Feeling good about myself""]","[""Low salt""]","[""Cooking more meals at home""]",Never,,"[""Have a bath""]","[""Browsing on my cell phone / tablet""]"
2222,6898711005.0,Female,18-24,Low,"[""Parents""]",3.0,"[""Stress control methods"", ""Eat healthily"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To make the most out of/enjoy life""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase""]",3+ times a week,"[""Weights"", ""Cardio / Aerobics / Water aerobics"", ""Running""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
2225,5591187225.0,Male,18-24,Medium,"[""Friends / Flatmates""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""Have more energy"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""High protein""]","[""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Other""]","[""No, none of these""]","[""Caffeine""]"
2227,27651765127.0,Male,25-34,Medium,"[""Partner / spouse""]",2.0,"[""Eat healthily""]","[""To manage a health / medical condition""]","[""None of the above"", ""None of the above""]","[""Making an effort to find healthy recipes""]",Never,,,"[""Heavy meal"", ""Watching TV""]"
2234,7001021728.0,Female,25-34,High,"[""I live alone""]",1,"[""Eat healthily"", ""Take vitamin / other supplements"", ""Taking time to relax"", ""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""Prevent health conditions in later life"", ""Specific event (e.g. holiday, wedding)"", ""To support my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal""]","[""Making an effort to find healthy recipes"", ""Filling half my plate with vegetables"", ""Eating dessert less often"", ""Snacking less often""]",Once a week,"[""Swimming"", ""Cardio / Aerobics / Water aerobics"", ""Running""]","[""Have a bath""]","[""Alcohol"", ""Watching TV"", ""Caffeine""]"
2235,5231017688.0,Male,18-24,Medium,"[""Parents"", ""Other family members""]",5+,"[""Exercise regularly"", ""Stress control methods"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""Have more energy""]","[""High protein"", ""Low sugar"", ""Low calorie"", ""Low cholesterol"", ""Paleo""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Eating out at places that have healthy options available""]",3+ times a week,"[""Running""]","[""Have a bath""]","[""Alcohol""]"
2237,3605152461.0,Male,45+,High,"[""Partner / spouse""]",3.0,"[""Eat healthily""]","[""To improve brain function/ memory"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Filling half my plate with vegetables""]",Twice a week,"[""Walking"", ""Swimming""]","[""No, none of these""]","[""Heavy meal""]"
2238,2380784681716.0,Male,25-34,Medium,"[""Children under 18 years old"", ""Parents""]",5+,"[""Eat healthily"", ""Meditation / positive mindset methods""]","[""To manage a health / medical condition"", ""To lose / manage my weight""]","[""Low cholesterol""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Yoga/Pilates""]","[""No, none of these""]","[""Watching TV"", ""Heavy meal"", ""Alcohol""]"
2241,4505383775.0,Male,35-44,Medium,"[""Parents""]",2.0,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Taking time to relax"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To manage a health / medical condition"", ""To live longer"", ""To improve my sleep""]","[""High protein"", ""Low salt""]","[""Eating dessert less often"", ""Snacking less often""]",Once a week,"[""Cycling"", ""Cardio / Aerobics / Water aerobics"", ""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Watching TV""]"
2251,1219947640.0,Female,45+,High,"[""Partner / spouse"", ""Children over 18 years old""]",3.0,"[""Exercise regularly"", ""Eat healthily"", ""Stay hydrated"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy"", ""Prevent health conditions in later life""]","[""None of the above""]","[""Cooking more meals at home"", ""Trying to have a variety of colors on my plate"", ""Snacking less often""]",3+ times a week,"[""Swimming"", ""Cycling"", ""Walking"", ""Strength training""]","[""No, none of these""]","[""No, none of these""]"
2255,2650094776.0,Female,45+,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",,"[""Stress control methods"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Taking time to relax""]","[""Specific event (e.g. holiday, wedding)"", ""Have more energy"", ""To manage a health / medical condition""]","[""None of the above""]","[""Trying to have a variety of colors on my plate"", ""Checking nutritional value of the food / drink I purchase"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Making an effort to find healthy recipes""]",Once a week,"[""Swimming"", ""Walking""]","[""Have herbal tea"", ""Take sleeping tablets""]","[""Caffeine""]"
2256,4626455598.0,Male,25-34,Low,"[""Partner / spouse""]",4.0,"[""Stress control methods"", ""Meditation / positive mindset methods"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""Prevent health conditions in later life"", ""To manage a health / medical condition"", ""Have more energy""]","[""Halal""]","[""Cooking more meals at home""]",Once a week,"[""Running""]","[""Meditate""]","[""Alcohol"", ""Heavy meal""]"
2257,734713308.0,Male,18-24,Medium,"[""Parents""]",4.0,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated""]","[""To make the most out of/enjoy life"", ""To live longer"", ""To improve brain function/ memory""]","[""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Eating out at places that have healthy options available"", ""Making an effort to find healthy recipes""]",Twice a week,"[""Strength training"", ""Weights"", ""Walking"", ""Cardio / Aerobics / Water aerobics"", ""Swimming""]","[""Have warm milk""]","[""Browsing on my cell phone / tablet"", ""Heavy meal"", ""Watching TV""]"
2258,6985450719.0,Female,18-24,Medium,"[""Children under 18 years old""]",2.0,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Taking time to relax""]","[""To lose / manage my weight"", ""Specific event (e.g. holiday, wedding)"", ""Have more energy""]","[""None of the above""]","[""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Snacking less often""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
2259,6512029226.0,Female,35-44,High,"[""I live alone""]",1,"[""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To live longer""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Filling half my plate with vegetables"", ""Shopping at places that have a wide selection of healthy options"", ""Making an effort to find healthy recipes"", ""Doing a cleanse""]",Once a week,"[""Running"", ""Walking"", ""Aerobics""]","[""Have a bath"", ""Have herbal tea"", ""Have warm milk""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
2264,3622518420.0,Female,35-44,Medium,"[""Other family members""]",3.0,"[""Taking time to relax"", ""Eat healthily"", ""Stress control methods"", ""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""I feel pressured because everyone else is doing it"", ""To improve my sleep""]","[""High protein"", ""Low sugar""]","[""Cooking more meals at home""]",Less often,,"[""Take sleeping tablets""]","[""Heavy meal""]"
2269,6389015877.0,Male,18-24,Medium,"[""Parents""]",4.0,"[""Exercise regularly""]","[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Cooking more meals at home""]",Once a week,"[""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet""]"
2271,2837892869.0,Female,45+,High,"[""Partner / spouse""]",2.0,"[""Exercise regularly"", ""Eat healthily""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life"", ""Feeling good about myself""]","[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products"", ""Filling half my plate with vegetables"", ""Cooking more meals at home"", ""Snacking less often""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Yoga/Pilates"", ""Hiking"", ""Cycling"", ""Walking""]","[""Have herbal tea""]","[""Alcohol"", ""Caffeine""]"
2274,886977003.0,Female,25-34,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Take vitamin / other supplements"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""To support my family"", ""To improve my sleep"", ""To make the most out of/enjoy life""]","[""Low sugar"", ""Low cholesterol"", ""Specific diet - specify"", ""Kosher"", ""Low salt""]","[""Doing a cleanse"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out / ordering takeout less frequently"", ""Trying to have a variety of colors on my plate"", ""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Cooking more meals at home""]",Twice a week,"[""Walking"", ""Weights"", ""Yoga/Pilates""]","[""Have herbal tea"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk"", ""Have a malted milk drink"", ""Take sleeping tablets""]","[""Alcohol"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Checking emails"", ""Watching TV""]"
2276,1139916744.0,Female,18-24,Medium,"[""Partner / spouse""]",4.0,"[""Meditation / positive mindset methods"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To set a good example for my family"", ""To manage a health / medical condition"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten""]","[""Counting / tracking calories"", ""Eating out / ordering takeout less frequently"", ""Watching the size of my portions"", ""Cooking more meals at home""]",Once a week,"[""Walking"", ""Swimming""]","[""No, none of these""]","[""Heavy meal""]"
2277,3041040292.0,Male,45+,Medium,"[""Partner / spouse""]",5+,"[""Meditation / positive mindset methods""]","[""To support my family""]","[""Gluten / wheat free""]","[""Snacking less often""]",Once a week,"[""Cycling""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""No, none of these""]"
2286,6182917408.0,Male,35-44,Medium,"[""Other family members""]",5+,"[""Drink lots of water / fluids""]","[""Have more energy""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Doing a cleanse""]",3+ times a week,"[""Cycling""]","[""Have a bath""]","[""Watching TV""]"
2287,6198336599.0,Female,25-34,Low,"[""I live alone""]",1,"[""Taking time to relax""]","[""To improve my sleep"", ""To live longer"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Low sugar"", ""Low salt"", ""High protein""]","[""Filling half my plate with vegetables"", ""Eating dessert less often"", ""Doing a cleanse"", ""Snacking less often""]",3+ times a week,"[""Swimming"", ""Weights"", ""Walking""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine""]"
2290,26550918024.0,Male,25-34,Low,"[""Partner / spouse""]",2.0,"[""Eat healthily""]","[""Other""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Yoga/Pilates""]","[""No, none of these""]","[""Browsing on my cell phone / tablet""]"
2295,7506818920.0,Male,45+,High,"[""Partner / spouse""]",5+,"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Exercise regularly""]","[""To live longer"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal""]","[""Making an effort to find healthy recipes"", ""Shopping at places that have a wide selection of healthy options"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase""]",Once a week,"[""Aerobics"", ""Swimming"", ""Cycling"", ""Walking""]","[""Have herbal tea""]","[""Caffeine""]"
2302,6807305285.0,Male,25-34,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Exercise regularly""]","[""To lose / manage my weight""]","[""None of the above""]","[""Snacking less often""]",3+ times a week,"[""Cycling"", ""Walking""]","[""No, none of these""]","[""Caffeine""]"
2309,3015871026.0,Female,25-34,High,"[""Parents"", ""Other family members""]",3.0,"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Stay hydrated""]","[""Have more energy"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]","[""Low salt"", ""Low sugar""]","[""Watching the size of my portions"", ""Snacking less often""]",Less often,,"[""Other""]","[""Caffeine"", ""Alcohol"", ""Heavy meal""]"
2319,3389433460.0,Female,45+,Medium,"[""Children over 18 years old""]",3.0,"[""Stress control methods"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Taking time to relax""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""Feeling good about myself""]","[""Low sugar"", ""High protein""]","[""Checking nutritional value of the food / drink I purchase""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""Heavy meal""]"
2326,3381853980.0,Female,18-24,Medium,"[""Friends / Flatmates""]",5+,"[""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To improve brain function/ memory"", ""Have more energy"", ""To make the most out of/enjoy life""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Filling half my plate with vegetables"", ""Eating dessert less often"", ""Watching the size of my portions""]",3+ times a week,"[""Yoga/Pilates"", ""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Heavy meal"", ""Alcohol"", ""Caffeine""]"
2333,3399324203.0,Male,18-24,Medium,"[""Partner / spouse"", ""Parents""]",4.0,"[""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""Have more energy"", ""To support my family""]","[""Low sugar"", ""Low salt"", ""Vegetarian: eat no meat or fish"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Filling half my plate with vegetables"", ""Counting / tracking calories"", ""Checking nutritional value of the food / drink I purchase""]",3+ times a week,"[""Circuit training/ HIIT"", ""Walking"", ""Weights""]","[""Take herbal supplements""]","[""Checking emails""]"
2342,2719683162.0,Male,25-34,High,"[""Partner / spouse""]",2.0,"[""Stay hydrated"", ""Taking time to relax""]","[""Have more energy"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]","[""None of the above""]","[""Snacking less often"", ""Cooking more meals at home""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
2343,7665835000.0,Female,25-34,High,"[""Parents""]",3.0,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To improve brain function/ memory"", ""Prevent health conditions in later life"", ""To manage a health / medical condition""]","[""Organic""]","[""None of the above""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
2351,6472955550.0,Female,18-24,Medium,"[""Parents""]",5+,"[""Take vitamin / other supplements"", ""Taking time to relax"", ""Exercise regularly""]","[""To live longer"", ""Feeling good about myself""]","[""Keto""]","[""Checking nutritional value of the food / drink I purchase""]",Once a week,"[""Cycling""]","[""Have a bath""]","[""Alcohol""]"
2352,1411211472.0,Male,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Stress control methods""]","[""To make the most out of/enjoy life""]","[""Specific diet - specify""]","[""Shopping at places that have a wide selection of healthy options""]",Once a week,"[""Weights""]","[""Take herbal supplements""]","[""Watching TV"", ""Browsing on my cell phone / tablet""]"
2355,5639531568.0,Male,45+,Medium,"[""Partner / spouse""]",3.0,"[""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight""]","[""None of the above""]","[""Checking / reading the ingredients in food / drink products""]",Few times a month,"[""Cycling"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
2357,3362921624.0,Male,25-34,Low,"[""Partner / spouse""]",3.0,"[""Stress control methods"", ""Take vitamin / other supplements"", ""Stay hydrated"", ""Meditation / positive mindset methods""]","[""I feel pressured because everyone else is doing it"", ""To support my family"", ""To manage a health / medical condition""]","[""Halal""]","[""Eating out / ordering takeout less frequently""]",Once a week,"[""Swimming"", ""Walking""]","[""Have a bath""]","[""Watching TV""]"
2362,2273616.0,Male,18-24,High,"[""Friends / Roommates""]",4.0,"[""Exercise regularly"", ""Eat healthily"", ""Stay hydrated"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""Prevent health conditions in later life""]","[""Low salt"", ""Flexitarian: eat meat but control the amount eaten""]","[""Eating out / ordering takeout less frequently"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products""]",Twice a week,"[""Walking"", ""Circuit training/ HIIT""]","[""Have herbal tea""]","[""Caffeine"", ""Heavy meal""]"
2366,5740605663.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To manage a health / medical condition"", ""To lose / manage my weight"", ""To live longer""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""Low salt"", ""Low cholesterol"", ""Specific diet""]","[""Watching the size of my portions"", ""Filling half my plate with vegetables""]",Once a week,"[""Cycling"", ""Walking""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet""]"
2370,185991.0,Female,18-24,High,"[""Parents""]",3.0,"[""Taking time to relax"", ""Stress control methods"", ""Drink lots of water / fluids""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""Feeling good about myself""]","[""Low sugar""]","[""Eating dessert less often"", ""Checking nutritional value of the food / drink I purchase"", ""Making an effort to find healthy recipes""]",Once a week,"[""Yoga/Pilates""]","[""Meditate"", ""Have herbal tea""]","[""Heavy meal"", ""Alcohol""]"
2372,5769363617.0,Male,18-24,Medium,"[""Partner / spouse""]",2.0,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Stress control methods"", ""Taking time to relax""]","[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]","[""None of the above""]","[""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse""]",Twice a week,"[""Weights"", ""Running"", ""Cardio / Aerobics / Water aerobics""]","[""Meditate"", ""Have herbal tea""]","[""Heavy meal"", ""Caffeine""]"
2381,34432300.0,Male,45+,High,"[""Partner / spouse""]",2.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To live longer"", ""To improve brain function/ memory""]","[""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Filling half my plate with vegetables"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Cycling""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet"", ""Heavy meal"", ""Alcohol"", ""Caffeine""]"
2391,3032198595.0,Male,25-34,Medium,"[""Partner / spouse""]",2.0,"[""Stress control methods"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Stay hydrated"", ""Taking time to relax""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life"", ""To live longer""]","[""None of the above""]","[""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Running"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
2395,5264813190.0,Male,18-24,Medium,"[""Partner / spouse""]",3.0,"[""Eat healthily"", ""Stay hydrated"", ""Exercise regularly""]","[""To make the most out of/enjoy life"", ""To make the most of treats / indulgent moments"", ""Specific event (e.g. holiday, wedding)""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Once a week,"[""Running""]","[""Have a malted milk drink""]","[""Alcohol""]"
2398,3329120970.0,Female,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Take vitamin / other supplements"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""To make the most out of/enjoy life"", ""Have more energy""]","[""Low sugar"", ""Low salt""]","[""Watching the size of my portions"", ""Snacking less often""]",3+ times a week,"[""Walking"", ""Running""]","[""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Caffeine"", ""Alcohol""]"
